Date,Platform,Downloads
2026-05-09,npm (JavaScript),0
2026-05-09,NuGet (.NET),470
2026-05-09,RubyGems (Ruby),342
2026-05-09,Crates.io (Rust),215
2026-05-09,Maven Central (Java),1296
2026-05-09,GitHub (Go),384
2026-05-10,npm (JavaScript),0
2026-05-10,NuGet (.NET),515
2026-05-10,RubyGems (Ruby),258
2026-05-10,Crates.io (Rust),238
2026-05-10,Maven Central (Java),1128
2026-05-10,GitHub (Go),372
2026-05-11,npm (JavaScript),0
2026-05-11,NuGet (.NET),540
2026-05-11,RubyGems (Ruby),267
2026-05-11,Crates.io (Rust),235
2026-05-11,Maven Central (Java),1224
2026-05-11,GitHub (Go),472
2026-05-12,npm (JavaScript),0
2026-05-12,NuGet (.NET),580
2026-05-12,RubyGems (Ruby),306
2026-05-12,Crates.io (Rust),218
2026-05-12,Maven Central (Java),1356
2026-05-12,GitHub (Go),368
2026-05-13,npm (JavaScript),0
2026-05-13,NuGet (.NET),615
2026-05-13,RubyGems (Ruby),348
2026-05-13,Crates.io (Rust),272
2026-05-13,Maven Central (Java),1392
2026-05-13,GitHub (Go),340
2026-05-14,npm (JavaScript),0
2026-05-14,NuGet (.NET),620
2026-05-14,RubyGems (Ruby),357
2026-05-14,Crates.io (Rust),258
2026-05-14,Maven Central (Java),1032
2026-05-14,GitHub (Go),428
2026-05-15,npm (JavaScript),0
2026-05-15,NuGet (.NET),400
2026-05-15,RubyGems (Ruby),312
2026-05-15,Crates.io (Rust),213
2026-05-15,Maven Central (Java),1224
2026-05-15,GitHub (Go),476
2026-05-16,npm (JavaScript),0
2026-05-16,NuGet (.NET),575
2026-05-16,RubyGems (Ruby),279
2026-05-16,Crates.io (Rust),230
2026-05-16,Maven Central (Java),1236
2026-05-16,GitHub (Go),328
2026-05-17,npm (JavaScript),0
2026-05-17,NuGet (.NET),595
2026-05-17,RubyGems (Ruby),369
2026-05-17,Crates.io (Rust),285
2026-05-17,Maven Central (Java),1308
2026-05-17,GitHub (Go),476
2026-05-18,npm (JavaScript),0
2026-05-18,NuGet (.NET),505
2026-05-18,RubyGems (Ruby),387
2026-05-18,Crates.io (Rust),238
2026-05-18,Maven Central (Java),1032
2026-05-18,GitHub (Go),496
2026-05-19,npm (JavaScript),0
2026-05-19,NuGet (.NET),580
2026-05-19,RubyGems (Ruby),303
2026-05-19,Crates.io (Rust),235
2026-05-19,Maven Central (Java),1248
2026-05-19,GitHub (Go),440
2026-05-20,npm (JavaScript),0
2026-05-20,NuGet (.NET),440
2026-05-20,RubyGems (Ruby),249
2026-05-20,Crates.io (Rust),305
2026-05-20,Maven Central (Java),1428
2026-05-20,GitHub (Go),320
2026-05-21,npm (JavaScript),0
2026-05-21,NuGet (.NET),505
2026-05-21,RubyGems (Ruby),282
2026-05-21,Crates.io (Rust),275
2026-05-21,Maven Central (Java),1092
2026-05-21,GitHub (Go),412
2026-05-22,npm (JavaScript),0
2026-05-22,NuGet (.NET),480
2026-05-22,RubyGems (Ruby),366
2026-05-22,Crates.io (Rust),255
2026-05-22,Maven Central (Java),1200
2026-05-22,GitHub (Go),396
2026-05-23,npm (JavaScript),0
2026-05-23,NuGet (.NET),470
2026-05-23,RubyGems (Ruby),363
2026-05-23,Crates.io (Rust),290
2026-05-23,Maven Central (Java),1188
2026-05-23,GitHub (Go),512

