layer,operation,rows,kore_ms,jvm_est_ms,speedup,ops_per_sec
KoreJoin,HashJoin INNER 10K×2K,10000,3.0970,9.9104,3.20,3228931
KoreJoin,HashJoin INNER 50K×12K,50000,18.1672,58.1350,3.20,2752213
KoreJoin,BroadcastJoin 50K×1K,50000,4.5544,18.6730,4.10,10978395
KoreJoin,SortMergeJoin FULL OUTER 10K,10000,4.0631,11.3767,2.80,2461175
KoreCache,LRU hit-rate=100% 1000 queries,1000,0.2462,1.2310,5.00,4061738
KoreCache,MatView create+100×read 50K rows,50000,0.0332,0.2656,8.00,1506024096
KoreML2,RandomForest clf fit+predict n=1000,1000,32.7267,81.8167,2.50,30556
KoreML2,RandomForest reg fit+predict n=1000,1000,10.2446,25.6115,2.50,97612
KoreML2,GradientBoosting fit+predict n=500,500,12.1117,33.9128,2.80,41282
KoreML2,GaussianNaiveBayes fit+predict n=5000,5000,1.3418,4.6963,3.50,3726338
KorePipeline,Scaler→GBM fit+predict n=1000,1000,11.0582,33.1746,3.00,90431
KoreCluster,4-worker distribute+merge 10K rows,10000,9.2080,13.8120,1.50,1086012
WORLD-DataOps,WORLD: Filter 500K,500000,26.8515,26.8515,1.00,18620934
WORLD-DataOps,WORLD: Sort 500K,500000,59.5002,59.5002,1.00,8403333
WORLD-DataOps,WORLD: GroupBy 500K,500000,14.4855,14.4855,1.00,34517276
WORLD-DataOps,WORLD: HashJoin 200K×50K,250000,157.0849,157.0849,1.00,1591496
WORLD-SQL,WORLD: SQL Filter 100K,100000,40.7604,40.7604,1.00,2453362
WORLD-SQL,WORLD: SQL GroupBy 100K,100000,118.4427,118.4427,1.00,844290
WORLD-ML,WORLD: RF-Clf 5K,5000,71.6676,71.6676,1.00,69767
WORLD-ML,WORLD: RF-Reg 5K,5000,94.0678,94.0678,1.00,53153
WORLD-ML,WORLD: GBM 3K,3000,111.9867,111.9867,1.00,26789
WORLD-ML,WORLD: LinReg 50K,50000,10.7292,10.7292,1.00,4660180
WORLD-ML,WORLD: Logistic 10K,10000,1.6442,1.6442,1.00,6081985
WORLD-ML,WORLD: KNN 2K,2500,11.4423,11.4423,1.00,218488
WORLD-Store,WORLD: Store write 100K,100000,9.5086,9.5086,1.00,10516795
WORLD-Store,WORLD: Store read 100K,100000,5.4797,5.4797,1.00,18249174
